nei'rong,6636 内容,6636;
yi'shabai,20 伊莎白,20;
guo'jiang,10 过奖,5;果酱,5;
jian'duo'shi'guang,11 见多识广,11;
you'sheng'you'se,52 有声有色,52;
lincun,61 林村,9;邻村,52;
man'de'er,5 曼德尔,5;
li'jiangfu,13 李江福,13;
san'shi'san,18 三十三,18;
gao'gang'qu,8 高港区,8;
kuan'dai,335 宽带,298;款待,37;
shu'shui,23 熟睡,23;
fen'yang,5 汾阳,5;
mian'bu'liao,27 免不了,27;
shi'bei,90 石碑,90;
li'cai,603 理财,588;理睬,15;
zhu'zhen,16 助阵,16;
xu'guo'liang,6 徐国良,6;
e'xing'zhong'liu,18 恶性肿瘤,18;
zhu'qingzhang,14 朱清章,14;
zao'gao,94 糟糕,94;
xiang'guan,8925 相关,8925;
luhuaiqing,5 卢怀青,5;
a'hong,12 阿訇,12;
zou'ji'duan,13 走极端,13;
xi'shou,1151 吸收,1089;洗手,62;
yibei,20 衣被,20;
si'chu'ben'bo,20 四处奔波,20;
pin'tu,9 拼图,9;
shang'lian,15 上联,15;
zhidi,5 之第,5;
kulv,9 苦旅,9;
huo'sheng'sheng,49 活生生,49;
qinlei,12 禽类,12;
yanlan,15 延揽,15;
gan'huoer,6 干活儿,6;
yin'sen,7 阴森,7;
tian'chang'di'jiu,5 天长地久,5;
qiang'pozheng,10 强迫症,10;
zhidu,19 制毒,19;
lin'xiang'qian,62 林祥谦,62;
chang'sha'xian,32 长沙县,32;
po'bu'de'yi,14 迫不得已,14;
wan'lian,20 挽联,20;
guan'hou'gan,5 观后感,5;
fang'renfei,7 方任飞,7;
gang'rou'xiang'ji,8 刚柔相济,8;
xun'xu'jian'jin,202 循序渐进,202;
kuai'le,1094 快乐,1094;
dian'fei,111 电费,111;
zai'tao,34 在逃,34;
gu'qing,6 雇请,6;
kai'fa'zhe,78 开发者,78;
zhici,20 致词,20;
tiaofa'qiu,6 跳发球,6;
gao'bai,6 告白,6;
lin'wenyi,75 林文漪,75;
yibao,7 易爆,7;
zuo'ren,346 做人,346;
zi'ran'jie,85 自然界,85;
shao'yang,38 邵阳,38;
dian'fen,33 淀粉,33;
you'xie,3011 有些,3011;
yue'jin,32 跃进,32;
ju'bao'xin,10 举报信,10;
gan'chao,151 赶超,151;
nv'dan,120 女单,120;
gan'chai,12 干柴,12;
mei'bian,10 霉变,10;
pinyou,23 贫油,23;
guo'jiaju,10 国家局,10;
nong'an'xian,14 农安县,14;
tian'dongyan,5 田东彦,5;
tiaotian,7 条田,7;
texupin,8 特需品,8;
jianzhi'ren,234 菅直人,234;
you'xiu,5020 优秀,5020;
wan'jia'deng'huo,18 万家灯火,18;
huo'guo,52 火锅,52;
a'yi,248 阿姨,248;
yue'jia,12 越加,12;
bian'zuan,91 编纂,91;
huo'gui,8 货柜,8;
you'xin,50 忧心,50;
yue'jie,40 越界,40;
fo'luo'li'da'zhou,20 佛罗里达州,20;
chi'dai,14 痴呆,14;
cha'dui'luo'hu,6 插队落户,6;
wai'feng'xie'qi,25 歪风邪气,25;
chi'dao,99 迟到,63;赤道,36;
chong'shua,28 冲刷,28;
chen'xiao'hua,18 陈晓华,18;
li'decai,15 李得才,15;
xi'shui,39 溪水,39;
man'gan,24 蛮干,24;
fu'wu'chu,5 服务处,5;
jin'qu'xin,15 进取心,15;
huo'dong,17458 活动,17458;
bian'lian,38 变脸,38;
qiang'zhili,25 强制力,25;
yin'shi,354 饮食,291;殷实,46;吟诗,17;
xi'shua,16 洗刷,16;
cundang'wei,34 村党委,34;
fei'huo'liang,11 肺活量,11;
wu'dong,82 吴东,7;舞动,75;
yan'wai'zhi'yi,7 言外之意,7;
chuo'hao,21 绰号,21;
zengrong,8 增容,8;
huang'shan'song,7 黄山松,7;
yin'shu,84 印数,23;引述,61;
zhan'qiao,7 栈桥,7;
zhan'qian,16 战前,16;
ji'chuang,186 机床,186;
shi'bai,762 失败,762;
zhiai,6 致哀,6;
kuai'ji,361 会计,361;
xie'jin,8 谢晋,8;
liu'li'cai,14 陆立才,14;
ya'telandisi,10 亚特兰蒂斯,10;
shi'ban,69 石板,69;
shi'bao,434 时报,434;
quan'shang,74 券商,74;
a'zi,5 阿兹,5;
che'shui'ma'long,24 车水马龙,24;
ge'duan,60 隔断,17;割断,43;
tang'yin'xian,9 汤阴县,9;
zun'ji'shou'fa,59 遵纪守法,59;
weilan,58 微澜,10;围栏,48;
ying'yang'xue,15 营养学,15;
wangyunmei,7 王运梅,7;
hou'xiao'dong,8 侯晓东,8;
ming'lingzhu'yi,9 命令主义,9;
qin'ding'zang,5 钦定藏,5;
ying'yangshi,39 营养师,39;
lao'ying,5 老鹰,5;
gao'xiao,4758 高校,2942;高效,1816;
liuyazi,15 柳亚子,15;
min'zheng,253 民政,253;
yong'huliang,10 用户量,10;
zi'mei,29 姊妹,29;
da'bai'hua,9 大白话,9;
xi'mie,59 熄灭,59;
zi'man,50 自满,50;
dang'gang,12 党纲,12;
hong'zhong,18 红肿,18;
xin'shu,83 新书,83;
cheng'bao'ren,44 承包人,44;
mu'he'tai,10 木合太,10;
man'de'le,15 曼德勒,15;
fei'jian,18 飞溅,18;
liu'kaijin,19 刘开瑾,19;
xin'shi,230 心事,47;新诗,82;信使,30;新式,71;
feng'qi'yun'yong,61 风起云涌,61;
rang'gei,78 让给,78;
jin'tou,246 劲头,94;尽头,100;浸透,52;
yang'fu'mu,14 养父母,14;
guozhaoxin,6 郭兆信,6;
zhen'xin'hua,17 真心话,17;
yi'er'sansi,5 一二三四,5;
changfa,19 唱法,19;
lao'wai,63 老外,63;
shi'da'shi,38 实打实,38;
jun'jing,66 军警,66;
jia'ba'jin,5 加把劲,5;
ju'yiye,14 居宜业,14;
di'shou'ru'zhe,111 低收入者,111;
lin'chang,361 临场,13;林场,348;
song'jian,28 耸肩,8;宋健,20;
yi'gan,78 乙肝,78;
song'jiao,40 送交,40;
yi'gao,5 译稿,5;
yi'gai,53 一概,53;
xian'jinxian,33 先进县,33;
hu'er,17 忽而,17;
qiu'yang,9 秋阳,9;
jia'ting'fu'nv,10 家庭妇女,10;
zha'lai,5 扎赉,5;
xing'ye,250 星夜,11;兴业,239;
xi'ri,325 昔日,325;
xing'yi,101 行医,94;兴义,7;
zha'lan,20 栅栏,20;
yu'yun,6 余韵,6;
jiao'suo,10 教唆,10;
ao'an,6 傲岸,6;
zai'shi,20 在世,20;
li'dong'xiao,6 李东晓,6;
lubei,11 鲁北,11;
fan'chang'jiang,9 范长江,9;
xiao'wenbing,10 肖文兵,10;
zai'sha,30 宰杀,30;
cheng'nuo,2375 承诺,2375;
yuanhaisheng,5 原海生,5;
xi'si,12 西四,12;
jing'zhuang,5 精壮,5;
jieshou'hui,6 结售汇,6;
xing'zi,19 星子,9;性子,10;
er'shi'qiba,5 二十七八,5;
wan'ning,9 万宁,9;
jiang'yin,168 江阴,168;
ci'zhuan,29 瓷砖,29;
yu'lejie,5 娱乐界,5;
bao'hufa,199 保护法,199;
dai'xiao,22 代销,22;
dai'xian,12 代县,12;
wei'wei,136 韦薇,5;巍巍,41;娓娓,9;微微,60;蔚为,21;
er'chuan,19 二传,19;
yu'yue,527 逾越,38;愉悦,155;预约,334;
wei'wen,540 慰问,540;
xi'su,219 习俗,219;
fu'nv'jie,20 妇女节,20;
jin'qiu'shu,6 进球数,6;
sha'chuang,7 纱窗,7;
dian'ping'che,14 电瓶车,14;
pangzhanying,8 庞占英,8;
da'kong,5 打孔,5;
meng'jia'la,16 孟加拉,16;
fu'ling,96 茯苓,7;涪陵,89;
xi'ti,12 习题,12;
ju'zuo'jia,37 剧作家,37;
biao'sheng,161 飙升,161;
ju'chu,16 举出,16;
wen'linfeng,5 文林峰,5;
ao'di,22 奥迪,22;
yi'ran'wu,6 易燃物,6;
wei'gui'zhe,30 违规者,30;
cheng'xiao'ling,13 程晓玲,13;
lao'wei,8 老魏,8;
zhada,32 渣打,32;
mai'jin'tuo'shi,13 麦金托什,13;
xing'wu,23 醒悟,23;
si'bu'ming'mu,5 死不瞑目,5;
tiao'dong,77 挑动,7;跳动,70;
ti'bao,10 提包,10;
hu'de,13 忽地,5;胡德,8;
jiu'dian,439 酒店,439;
xi'tu,335 稀土,335;
hu'di,18 湖底,18;
chan'di,173 产地,173;
liu'xing'yu,36 流行语,36;
mo'xi,5 摩西,5;
hu'bi,13 湖笔,13;
xing'xi,15 星系,15;
wang'dong'mei,16 王冬梅,16;
gongwu,38 公屋,38;
kun'nan,6698 困难,6698;
shu'kan,50 书刊,50;
li'hang'jie'yue,61 厉行节约,61;
qiu'zhang,6 酋长,6;
nuo'fu,6 懦夫,6;
ji'quan,15 集权,15;
hu'bu,595 互补,497;互不,98;
zi'xing,633 字型,10;自行,434;自省,145;字形,44;
xiu'li'gong,6 修理工,6;
qing'jie'gong,36 清洁工,36;
zhou'yingfeng,8 周英峰,8;
bai'nian'shu'ren,15 百年树人,15;
lao'zong,85 老总,85;
mabang,12 马帮,12;
rongdeng,24 荣登,24;
lian'zhan,13 联展,13;
shi'er'fu'de,10 失而复得,10;
li'cha,41 利差,41;
bao'nue,9 暴虐,9;
xiao'feiguo,25 消费国,25;
ruo'wu'qi'shi,6 若无其事,6;
yu'yan'bu'xiang,9 语焉不详,9;
xiang'qingting,5 向清廷,5;
hu'an,13 护岸,6;胡安,7;
zhiye,375 置业,77;执业,298;
fu'lan'ke,6 弗兰克,6;
zhiya,6 枝桠,6;
duokong,7 多孔,7;
diu'diao,79 丢掉,79;
rao'yi,13 饶毅,13;
linbingkun,9 林炳坤,9;
li'qing'zhao,16 李清照,16;
xiang'mu'qu,93 项目区,93;
wang'le'quan,124 王乐泉,124;
da'zong,533 大宗,533;
mo'ya,5 磨牙,5;
wai'diao,7 外调,7;
bao'huju,12 保护局,12;
li'shang'yin,12 李商隐,12;
wai'dian,15 外电,15;
yin'rou,6 阴柔,6;
kangchongmian,12 抗虫棉,12;
xu'jin'geng,14 徐锦庚,14;
chan'fa,56 阐发,56;
an'ji'hua,54 按计划,54;
mo'xu,37 默许,37;
re'xin'ren,26 热心人,26;
zixiang'mu,20 子项目,20;
saoxue,18 扫雪,18;
xin'tai,1077 心态,1067;新泰,10;
ting'zhen'qi,23 听诊器,23;
ding'diao,9 定调,9;
dian'gan,19 电杆,19;
zhu'zhai,723 住宅,723;
yun'dong,2658 运动,2658;
qu'jing'shi,44 曲靖市,44;
zhizi,8 只字,8;
fen'shen,15 分身,15;
ding'dian,407 定点,391;顶点,16;
ju'can,17 聚餐,17;
geli'er,6 格利尔,6;
shan'xiao'ming,9 单晓鸣,9;
dian'jiang,15 点将,15;
ju'ju'qu,82 聚居区,82;
chan'fu,175 搀扶,75;产妇,100;
xi'wu,38 西屋,19;习武,19;
wei'wan,28 委婉,28;
sun'yong'chun,6 孙永春,6;
ren'gongdao,31 人工岛,31;
nong'chan'pin,2276 农产品,2276;
kai'huai'da'xiao,9 开怀大笑,9;
yong'meng,25 勇猛,25;
shi'bie,290 识别,290;
ting'tang,16 厅堂,16;
luo'kejia,76 罗克佳,76;
jiao'zhang,16 交账,8;脚掌,8;
chen'xiao'ping,11 陈小平,11;
xi'xi,161 细细,102;洗洗,11;嬉戏,48;
jin'sui,63 晋绥,55;金穗,8;
he'cheng'xian'wei,5 合成纤维,5;
shu'ruguo,9 输入国,9;
pin'bo,411 拼搏,411;
shi'cong,10 失聪,10;
maregu'li,6 玛热古丽,6;
xiao'fang'ju,24 消防局,24;
xi'xu,46 唏嘘,46;
zhiwu,203 治污,203;
xing'si,43 形似,43;
chuang'yiguan,10 创意馆,10;
maoxi,24 毛细,24;
shi'nian'shu'mu,16 十年树木,16;
xia'hua,498 下滑,498;
xi'ya,284 西亚,284;
shen'genhua,12 沈根华,12;
jin'suo,392 紧缩,392;
jia'neng,11 佳能,11;
jingwei,5 井位,5;
fei'xin,17 费心,17;
jin'jin'ji'jiao,19 斤斤计较,19;
gu'xi'qian'jiu,16 姑息迁就,16;
xi'yi,134 洗衣,56;西医,78;
zhan'zhan'jing'jing,15 战战兢兢,15;
guo'guan'zhan'jiang,12 过关斩将,12;
yuan'xing,160 原形,14;圆形,44;原型,63;远行,39;
xia'bu'lai,17 下不来,17;
dou'xing,5 都行,5;
yu'shu'zang'zu'zi'zhi'zhou,12 玉树藏族自治州,12;
xun'chi,7 训斥,7;
chi'shuihe,7 赤水河,7;
xi'yu,145 洗浴,34;细雨,52;细语,24;喜雨,5;西域,30;
yi'xing,75 宜兴,27;异性,23;易行,25;
laoyan,38 老颜,38;
jiu'wang,34 救亡,34;
shuo'jin,9 说尽,9;
chi'dun,20 迟钝,20;
hang'tianju,76 航天局,76;
ke'chang,94 客场,94;
xing'ti,33 形体,33;
hu'xing,18 弧形,18;
xun'cha,273 巡查,273;
hai'gang,37 海港,37;
guan'qie,855 关切,855;
ma'ni'la,44 马尼拉,44;
bai'yige,11 白衣阁,11;
gao'ang,189 高昂,189;
lvweifeng,5 吕维峰,5;
ji'er'ji'si'si'tan,62 吉尔吉斯斯坦,62;
wu'zhou'shi,36 梧州市,36;
bao'zhangting,53 保障厅,53;
xi'gesi,12 希格斯,12;
changbao,5 常葆,5;
tiao'jieshu,11 调解书,11;
yi'hu'bai'ying,18 一呼百应,18;
wang'ping,27 王平,21;王萍,6;
shu'fashi,6 书法史,6;
chuang'dian,11 床垫,11;
qin'jingan,19 亲近感,19;
pin'de,319 品德,319;
yuan'feng'bu'dong,13 原封不动,13;
gao'xing,1465 高兴,1465;
luo'yingzhen,9 罗映珍,9;
xi'zi,5 席子,5;
liu'cheng'you,26 刘成友,26;
xi'ze,364 细则,364;
zhoujie,5 周界,5;
huo'gen,7 祸根,7;
pai'ji'pao,17 迫击炮,17;
bei'bing'yang,20 北冰洋,20;
polangqian'jin,10 破浪前进,10;
liu'ren,26 留任,26;
chen'hai'tao,7 陈海涛,7;
pian'duan,90 片段,65;片断,25;
zhijiu,16 织就,16;
zuo'zi,6 坐姿,6;
jin'tai,7 金台,7;
qi'mao'bu'yang,6 其貌不扬,6;
hu'lu,77 葫芦,77;
zoushihong,7 邹仕洪,7;
wu'zu'qing'zhong,8 无足轻重,8;
xia'hui,5 下回,5;
zou'xue,13 走穴,13;
hu'ma,7 呼玛,7;
yao'ping,8 药瓶,8;
xie'yi'jia,5 协议价,5;
suan'wei,5 酸味,5;
chan'ke,36 产科,36;
fajima,5 法季玛,5;
yi'guo,50 异国,50;
linchu,5 林矗,5;
yi'li'fu'ren,24 以理服人,24;
dian'dian,94 点点,94;
xi'yan'zhe,68 吸烟者,68;
lan'peidusa,15 兰佩杜萨,15;
hu'li,2109 互利,1623;狐狸,9;护理,477;
bi'guan'suo'guo,13 闭关锁国,13;
mu'zhuang,21 木桩,21;
yi'gui,13 衣柜,13;
bo'cai'zhong'chang,43 博采众长,43;
pin'fa,67 贫乏,67;
chang'an'jie,33 长安街,33;
yi'chan'di,22 遗产地,22;
mai'miao,47 麦苗,47;
yong'wu'zhi'jing,100 永无止境,100;
ji'dui,7 挤兑,7;
fen'rao,13 纷扰,13;
ji'duo,11 几多,11;
hu'la,7 呼啦,7;
pin'du,47 频度,18;品读,29;
ran'bing,8 染病,8;
tou'dao,22 偷盗,22;
tou'dan,14 投弹,14;
dong'shang,27 冻伤,27;
zhu'xiao'dan,12 朱小丹,12;
fen'fa'you'wei,194 奋发有为,194;
sang'yuan,10 桑园,10;
jingwan,7 景湾,7;
xian'hong,111 鲜红,111;
xu'zhoude,14 许洲德,14;
zheng'quanye,15 证券业,15;
xiu'xianyou,22 休闲游,22;
chong'shen,509 重申,509;
bing'shan,46 冰山,46;
shu'shan,9 蜀山,9;
jiao'shu,58 教书,58;
zhiqu,32 旨趣,12;支渠,20;
zhou'chengrong,14 周成荣,14;
shu'shao,26 树梢,26;
dang'shiguo,16 当事国,16;
hu'ji,749 户籍,727;互济,22;
nan'zihua,6 男子化,6;
he'tian,204 和田,204;
zhi'ban'shi,46 值班室,46;
hebo'te,30 贺伯特,30;
zuo'wu,322 作物,322;
dian'dian'tou,25 点点头,25;
hui'bao'hui,21 汇报会,21;
gu'qiao,6 古桥,6;
meng'zai'gu'li,7 蒙在鼓里,7;
an'shan'shi,26 鞍山市,26;
jin'gu'bang,5 金箍棒,5;
jian'rong'bing'bao,20 兼容并包,20;
li'shujian,33 李树建,33;
te'kunsheng,6 特困生,6;
jian'xie'xing,23 间歇性,23;
mingfuqi'shi,8 名符其实,8;
jie'fei,24 劫匪,24;
bao'hubu,138 保护部,138;
yan'xia'zhi'yi,7 言下之意,7;
run'hua,8 润滑,8;
ying'you'er,120 婴幼儿,120;
nuo'mi,35 糯米,35;
fantai'ping'yang,6 泛太平洋,6;
sudong,21 苏东,21;
wen'xuner'lai,11 闻讯而来,11;
luoxiu'shan,5 罗秀山,5;
duo'duo'guai'shi,5 咄咄怪事,5;
pin'fu,258 贫富,258;
tian'biao,8 填表,8;
bi'ming,16 笔名,16;
tian'bian,47 天边,37;田边,10;
yan'jiang'zhe,7 演讲者,7;
bei'xiang,9 北乡,9;
jiao'she,73 交涉,73;
wei'sheng'bu'zhang,29 卫生部长,29;
lianjiaosuo,19 联交所,19;
zhao'shu'li,7 赵树理,7;
jiao'sha,6 绞杀,6;
xi'ling'qu,9 西陵区,9;
hu'hu,32 糊糊,9;呼呼,23;
er'shi'er,33 二十二,33;
ye'shi'wen,25 叶诗文,25;
pin'ge,529 品格,529;
jiao'shi,4402 礁石,23;教师,3985;教室,394;
tian'nan'di'bei,15 天南地北,15;
meng'xiangguan,10 梦想馆,10;
yi'yan'tang,32 一言堂,32;
li'cun,6 李村,6;
shou'xiangfu,10 首相府,10;
lie'chu,147 列出,147;
xi'shan,66 西山,66;
gongqu,6 龚曲,6;
xi'shao,54 稀少,54;
qiang'pao,31 枪炮,31;
naer,20 纳尔,20;
zonghu'shu,8 总户数,8;
guan'jia'zi,7 官架子,7;
er'shi'ba,30 二十八,30;
mao'yi'sheng,18 茅以升,18;
shang'xiaxue,47 上下学,47;
bei'geng,33 备耕,33;
du'shen,5 独身,5;
yu'zan,6 玉簪,6;
yan'liao,24 颜料,24;
lie'che,854 列车,854;
yan'lian,405 演练,367;眼帘,38;
lun'tai,83 轮胎,83;
pin'ji,84 贫瘠,84;
zuo'yi,166 左翼,67;座椅,99;
wu'ke'fei'yi,13 无可非议,13;
bu'te'fu'li'ka,13 布特弗利卡,13;
ba'ya'er'tu,19 巴雅尔图,19;
yi'huihui,5 一回回,5;
lun'tan,2792 论坛,2792;
xu'yao,16874 需要,16874;
xu'yan,88 序言,82;许燕,6;
zuo'ye,1300 作业,1280;昨夜,20;
chan'qu,96 产区,96;
ka'shen,130 喀什,130;
fa'lao'sao,19 发牢骚,19;
zhong'xia'you,240 中下游,240;
qing'xu'hua,28 情绪化,28;
chun'jing'shui,16 纯净水,16;
nei'xing,9 内省,9;
li'fa'dian,17 理发店,17;
jiang'you,29 酱油,29;
tu'zhuan'jia,9 土专家,9;
fen'shou,30 分手,30;
pu'shuo'mi'li,34 扑朔迷离,34;
zuo'xi,8 作息,8;
jing'saibu,5 竞赛部,5;
ni'yi'yan,9 你一言,9;
tangxiaoren,12 唐孝任,12;
de'dang,99 得当,99;
wenzongyu,13 文宗瑜,13;
tai'nan,19 台南,19;
tian'luan,30 添乱,30;
shui'ke,14 说客,14;
man'cheng,29 满城,29;
zhang'weiwei,10 张维为,10;
e'le'gang'zhou,13 俄勒冈州,13;
qi'da'shan,15 齐大山,15;
xia'ding'jue'xin,81 下定决心,81;
shi'cai,33 石材,33;
hua'pan,9 花盘,9;
telumupu,11 特鲁姆普,11;
hua'pao,11 花炮,11;
lian'pu,71 脸谱,71;
lai'sha,6 赖莎,6;
yue'qi'chang,13 乐器厂,13;
gui'shen,30 鬼神,30;
fu'guang'lue'ying,16 浮光掠影,16;
xian'dai'ren,123 现代人,123;
quan'mianxing,57 全面性,57;
xing'he,6 星河,6;
qiangong,25 钳工,25;
zeng'da,352 增大,352;
hua'pai,13 画派,13;
yong'feng'xian,5 永丰县,5;
yi'hou,2181 以后,2181;
wen'xianpian,22 文献片,22;
zeng'fa,55 增发,55;
hu'xian,31 户县,6;弧线,25;
guang'shan'shan,6 光闪闪,6;
en'ze,12 恩泽,12;
hu'xiao,86 护校,5;呼啸,81;
shui'ji,20 税基,20;
wu'suo'shi'cong,38 无所适从,38;
jin'shu,292 金属,292;
lian'ri,24 连日,24;
qi'rang,9 齐让,9;
xian'tao'shi,14 仙桃市,14;
xing'shan,63 行善,63;
xing'fu,3656 幸福,3656;
ao'ti,8 奥体,8;
bi'yang'xian,6 泌阳县,6;
hu'tu,38 糊涂,38;
xing'ge,449 性格,449;
dai'xing,22 代行,22;
chen'xuefeng,8 陈雪枫,8;
wengshihong,27 翁士洪,27;
sheng'jing,43 盛景,12;圣经,12;胜景,19;
bi'ye'ban,26 毕业班,26;
gu'ben,29 孤本,8;股本,21;
chi'chu,5 踟蹰,5;
yi'feng'feng,8 一封封,8;
chan'si,10 禅寺,10;
ming'bai'zhe,16 明摆着,16;
zhu'guan'zhu'yi,38 主观主义,38;
ang'yang,181 昂扬,181;
zi'kua,5 自夸,5;
chi'chi,144 迟迟,144;
zeng'bu,73 增补,73;
duo'fang'wei,29 多方位,29;
qushengwu,9 屈生武,9;
cun'bu'bu'li,7 寸步不离,7;
lv'hua'dai,53 绿化带,53;
er'shi'qi,22 二十七,22;
huang'xin'yuan,19 黄新元,19;
wu'zhu'yu,45 无助于,45;
shui'hu,79 水壶,18;水浒,61;
huo'guang,31 火光,31;
jin'shi,103 金狮,9;浸湿,12;进食,23;金石,21;近视,28;进士,10;
ben'tuxing,5 本土性,5;
jiao'rao,5 搅扰,5;
xing'ji,153 星级,111;形迹,8;性急,7;星际,27;
qi'xiang'ju,168 气象局,168;
ju'cuo,2106 举措,2106;
zhan'zhu,9 站住,9;
shuang'shuang,80 双双,80;
jin'sha,53 金厦,5;金沙,48;
xu'xin,168 许昕,16;虚心,152;
deng'jia'xian,47 邓稼先,47;
lian'pi,5 脸皮,5;
yi'minfa,14 移民法,14;
xin'jian'xian,30 新建县,30;
liyanlin,6 厉彦林,6;
maobinghua,11 毛秉华,11;
lai'shi,22 来时,5;来势,17;
jian'zhu'xue,14 建筑学,14;
xin'tuo,188 信托,188;
ju'min'qu,78 居民区,78;
xiong'xin'bo'bo,47 雄心勃勃,47;
chao'yang'lu,9 朝阳路,9;
can'hui,148 参会,148;
xing'zhi,1174 性质,1105;兴致,69;
jie'xia'qiu,5 阶下囚,5;
maqiu,21 马丘,21;
lian'ou,14 莲藕,14;
xing'zhe,75 行者,75;
guan'li'zhe,393 管理者,393;
yan'yi'lv'ji,7 严以律己,7;
mu'xiang'hua,8 木香花,8;
xiu'jian,652 修建,614;修剪,38;
tangmou,6 唐某,6;
can'huo,10 惨祸,10;
chan'ye,23018 产业,23018;
gao'nong'du,10 高浓度,10;
yandeshu,14 闫德书,14;
ming'xingdui,6 明星队,6;
zhen'gu'shuo'jin,10 震古烁今,10;
xiao'shou'liang,79 销售量,79;
li'ke'nong,5 李克农,5;
shuo'da,35 硕大,35;
chan'yu,6 单于,6;
hua'pen,11 花盆,11;
dao'hangyi,7 导航仪,7;
tou'deng,100 头等,100;
ke'xuejiang,9 科学奖,9;
chan'za,45 掺杂,45;
gao'chu,70 高处,70;
qiao'zha'le'suo,18 敲诈勒索,18;
lan'guangji,5 蓝光机,5;
qian'yuan,9 前院,9;
ji'yin'ku,9 基因库,9;
a'meng,418 阿盟,418;
shui'ni,676 水泥,676;
min'zuxiang,36 民族乡,36;
shu'jun,60 疏浚,60;
kai'tuo'zhe,48 开拓者,48;
bian'dongxing,22 变动性,22;
zhonghao,5 中号,5;
cai'zheng'ren,22 蔡正仁,22;
shui'mo,163 水墨,104;水磨,59;
gu'bao,13 古堡,13;
jiu'ding,6 九鼎,6;
cheng'cheng,10 程程,10;
weiken,11 围垦,11;
gu'bai,7 古柏,7;
er'shi'ji,44 二十几,44;
wen'hua'guan,271 文化馆,271;
xi'men'ting,10 西门町,10;
da'shi'guan,264 大使馆,264;
yun'dong'xie,33 运动鞋,33;
fa'zhi,3307 法治,1515;法制,1792;
hu'po,257 护坡,15;湖泊,229;琥珀,13;
zhou'mo'ying,7 周模英,7;
she'hui'xue,106 社会学,106;
zeng'fu,779 增幅,779;
ai'zi'nv,5 艾滋女,5;
ao'mi,78 奥秘,78;
nai'li,39 耐力,39;
pi'rou,5 皮肉,5;
yan'hua'liao'luan,50 眼花缭乱,50;
xiao'qing,39 校庆,39;
ba'shu,33 巴蜀,33;
kuangyan,6 矿盐,6;
aila,5 埃拉,5;
tan'xiao'feng'sheng,18 谈笑风生,18;
ling'yang,40 领养,20;羚羊,20;
shui'lu,122 水陆,11;水路,111;
bi'ran,1981 必然,1981;
reniya,7 热尼亚,7;
san'tai'xian,6 三台县,6;
ba'shi,171 巴士,80;罢市,7;巴氏,9;把式,16;八十,59;
chan'wu,261 产物,261;
tao'liang'cun,6 陶梁村,6;
yu'sheng,21 余生,13;雨声,8;
xing'fa,806 兴发,6;刑法,578;刑罚,222;
zhenchenglou,9 振成楼,9;
ba'she,92 跋涉,92;
zhong'di'shou'ruzhe,91 中低收入者,91;
shi'heng,480 失衡,480;
fan'shen'zhang,17 翻身仗,17;
shui'lv,458 税率,458;
feng'chi'dian'che,7 风驰电掣,7;
jing'wei,356 京味,6;警卫,49;精微,10;敬畏,234;经委,40;经纬,17;
lian'li,10 连理,10;
shuo'ci,22 说辞,22;
xu'gang,13 徐刚,13;
qian'fang,193 前方,193;
yi'xian,1473 胰腺,63;易县,13;一线,1397;
hu'lian'wang'luo,44 互联网络,44;
shui'li,2051 水力,10;水利,2041;
pao'xiao,32 咆哮,32;
feng'sheng,110 丰盛,51;风声,59;
cai'ling,7 蔡玲,7;
ao'mu,8 奥姆,8;
lie'dui,46 列队,46;
pai'bian,43 牌匾,43;
zhuangcun,34 庄村,34;
jing'wen,15 经文,15;
za'guo'mai'tie,12 砸锅卖铁,12;
nai'mo,11 耐磨,11;
fan'dong'pai,87 反动派,87;
shui'ku,933 水库,933;
li'zhao'chao,57 李兆焯,57;
biao'jiaqian,7 标价签,7;
ni'jing,60 逆境,60;
she'hui'zhi'du,174 社会制度,174;
yi'tuan'he'qi,15 一团和气,15;
shui'bo,9 水波,9;
huang'juan,5 黄卷,5;
liantie,40 炼铁,40;
nongyonghan,15 农勇汉,15;
wu'cai'ban'lan,22 五彩斑斓,22;
jiao'yi'shang,11 交易商,11;
er'shi'wu,52 二十五,52;
liang'yong,37 两用,37;
bu'lai'er,15 布莱尔,15;
zheng'hua,8 郑华,8;
xue'zhang,22 学长,22;
li'dai,99 历代,99;
ye'jia'ying,21 叶嘉莹,21;
fang'tanzhe,9 访谈者,9;
da'da'chu'shou,19 大打出手,19;
shuang'jiang,5 双江,5;
hua'fu,6 画幅,6;
waihang,6 外航,6;
shi'rong,138 市容,138;
fei'zao,22 肥皂,22;
di'dai,326 地带,326;
ao'ge'ni'lan'de,7 奥戈尼兰德,7;
song'hui'zong,9 宋徽宗,9;
caibinghua,8 蔡炳华,8;
shi'che,27 试车,27;
fan'dang,5 反党,5;
xin'tou,201 心头,201;
qian'wan,511 千万,511;
shi'cha,333 视察,312;时差,21;
wei'wu'er'zu,145 维吾尔族,145;
shu'jia,278 书架,92;舒家,9;暑假,177;
ye'mian,83 页面,83;
hu'xiao'hui,5 胡晓辉,5;
wang'hong'li,7 王红丽,7;
hen'xin,14 狠心,14;
xi'liu,59 溪流,59;
hui'han'ru'yu,19 挥汗如雨,19;
te'daxing,69 特大型,69;
fangzai,589 防灾,589;
shu'jie,32 疏解,32;
ling'dian,13 零点,13;
qi'wang,570 企望,5;期望,565;
kun'chong,59 昆虫,59;
